StateName,RegionName,Year,Value
AK,Pacific,AVG_2015,0.19790846216666666
AK,Pacific,AVG_2016,0.194735898
AK,Pacific,AVG_2017,0.189668177
AK,Pacific,AVG_2018,0.192052669
AK,Pacific,AVG_2019,0.187362412
AK,Pacific,AVG_2020,0.18841191525
AK,Pacific,AVG_2021,0.2027613754702381
AK,Pacific,AVG_2022,0.21162217070833333
AK,Pacific,AVG_2023,0.216886834625
AK,Pacific,AVG_2024,0.218196855375
AL,South,AVG_2015,0.20874689663333335
AL,South,AVG_2016,0.21916359944642858
AL,South,AVG_2017,0.22015000108333332
AL,South,AVG_2018,0.21988016566666668
AL,South,AVG_2019,0.21966524272619048
AL,South,AVG_2020,0.21516126666666668
AL,South,AVG_2021,0.22685184254166668
AL,South,AVG_2022,0.2364970967
AL,South,AVG_2023,0.23701544099655647
AL,South,AVG_2024,0.2370508688402778
AR,South,AVG_2015,0.1986953774861111
AR,South,AVG_2016,0.21240030579166666
AR,South,AVG_2017,0.21030461616666668
AR,South,AVG_2018,0.2061113574375
AR,South,AVG_2019,0.20482728445833334
AR,South,AVG_2020,0.20462911304166667
AR,South,AVG_2021,0.212057097625
AR,South,AVG_2022,0.23097945655
AR,South,AVG_2023,0.23396456141666666
AR,South,AVG_2024,0.23266516580555555
AZ,West,AVG_2015,0.22434305005555555
AZ,West,AVG_2016,0.2256602171388889
AZ,West,AVG_2017,0.22953345544444442
AZ,West,AVG_2018,0.24898128643939393
AZ,West,AVG_2019,0.25773125325
AZ,West,AVG_2020,0.26767679575000003
AZ,West,AVG_2021,0.29286748565000004
AZ,West,AVG_2022,0.3010376141342592
AZ,West,AVG_2023,0.295894415375
AZ,West,AVG_2024,0.2964938132916667
CA,West,AVG_2015,0.2817223483787879
CA,West,AVG_2016,0.287809247294686
CA,West,AVG_2017,0.2902597983675889
CA,West,AVG_2018,0.2902114715253623
CA,West,AVG_2019,0.2907031232898551
CA,West,AVG_2020,0.2912412580449087
CA,West,AVG_2021,0.30400015227173915
CA,West,AVG_2022,0.3184412907383333
CA,West,AVG_2023,0.3163127792483974
CA,West,AVG_2024,0.31926573913461537
CO,West,AVG_2015,0.2237108096404762
CO,West,AVG_2016,0.2255865976547619
CO,West,AVG_2017,0.22831494776190475
CO,West,AVG_2018,0.22764817213095237
CO,West,AVG_2019,0.22877584261904763
CO,West,AVG_2020,0.2278424578690476
CO,West,AVG_2021,0.23649943854761904
CO,West,AVG_2022,0.2484366621904762
CO,West,AVG_2023,0.24981976223809524
CO,West,AVG_2024,0.2526003220595238
CT,Northeast,AVG_2015,0.20378359527083334
CT,Northeast,AVG_2016,0.20418457735416667
CT,Northeast,AVG_2017,0.20534697133333332
CT,Northeast,AVG_2018,0.20730195514583333
CT,Northeast,AVG_2019,0.20943199985416666
CT,Northeast,AVG_2020,0.21217196397916666
CT,Northeast,AVG_2021,0.222799722625
CT,Northeast,AVG_2022,0.23419438116666666
CT,Northeast,AVG_2023,0.23902717020833333
CT,Northeast,AVG_2024,0.24878062920833333
DE,Northeast,AVG_2015,0.24799658758333332
DE,Northeast,AVG_2016,0.24733385608333336
DE,Northeast,AVG_2017,0.24964390758333332
DE,Northeast,AVG_2018,0.24955776858333334
DE,Northeast,AVG_2019,0.24857764679166666
DE,Northeast,AVG_2020,0.24583889404166664
DE,Northeast,AVG_2021,0.25968732054166666
DE,Northeast,AVG_2022,0.2707509089583333
DE,Northeast,AVG_2023,0.27345881512500003
DE,Northeast,AVG_2024,0.2807858480416667
FL,Southeast,AVG_2015,0.2668029186096491
FL,Southeast,AVG_2016,0.26978650110625
FL,Southeast,AVG_2017,0.2725471359484127
FL,Southeast,AVG_2018,0.27267282077777777
FL,Southeast,AVG_2019,0.2732608159126984
FL,Southeast,AVG_2020,0.2750592695952381
FL,Southeast,AVG_2021,0.3023248441103896
FL,Southeast,AVG_2022,0.33093221193560607
FL,Southeast,AVG_2023,0.3295226014090909
FL,Southeast,AVG_2024,0.32795575401515153
GA,Southeast,AVG_2015,0.22437770674905302
GA,Southeast,AVG_2016,0.22126394496296295
GA,Southeast,AVG_2017,0.21450687154166667
GA,Southeast,AVG_2018,0.21519250491666667
GA,Southeast,AVG_2019,0.21724257306666667
GA,Southeast,AVG_2020,0.2252190686969697
GA,Southeast,AVG_2021,0.2493117062847222
GA,Southeast,AVG_2022,0.2592664161758242
GA,Southeast,AVG_2023,0.2556251895714286
GA,Southeast,AVG_2024,0.25778365376785717
HI,Pacific,AVG_2015,0.2931769390833333
HI,Pacific,AVG_2016,0.2919368715833333
HI,Pacific,AVG_2017,0.29070530608333334
HI,Pacific,AVG_2018,0.28933032825
HI,Pacific,AVG_2019,0.28833662283333333
HI,Pacific,AVG_2020,0.33808790175000003
HI,Pacific,AVG_2021,0.37646279908333335
HI,Pacific,AVG_2022,0.390051404875
HI,Pacific,AVG_2023,0.38640326270833336
HI,Pacific,AVG_2024,0.404296331625
IA,Midwest,AVG_2015,0.18510614141666668
IA,Midwest,AVG_2016,0.18458324935416667
IA,Midwest,AVG_2017,0.18349339455
IA,Midwest,AVG_2018,0.17958270253333333
IA,Midwest,AVG_2019,0.17846757635
IA,Midwest,AVG_2020,0.1767326245
IA,Midwest,AVG_2021,0.17341497241666667
IA,Midwest,AVG_2022,0.1743581173809524
IA,Midwest,AVG_2023,0.18070176367857144
IA,Midwest,AVG_2024,0.18715356351190476
ID,West,AVG_2015,0.17142141604166666
ID,West,AVG_2016,0.17711717691666667
ID,West,AVG_2017,0.19384377148484846
ID,West,AVG_2018,0.19817880658333334
ID,West,AVG_2019,0.20046805725
ID,West,AVG_2020,0.20417494827777777
ID,West,AVG_2021,0.2333974077777778
ID,West,AVG_2022,0.23491401619166669
ID,West,AVG_2023,0.22897333321666666
ID,West,AVG_2024,0.23104564636666666
IL,Midwest,AVG_2015,0.18803208841666666
IL,Midwest,AVG_2016,0.1766446307661101
IL,Midwest,AVG_2017,0.17666840744791668
IL,Midwest,AVG_2018,0.1740912500625
IL,Midwest,AVG_2019,0.17277343945833332
IL,Midwest,AVG_2020,0.17318140932291667
IL,Midwest,AVG_2021,0.17960072074814815
IL,Midwest,AVG_2022,0.1849034904
IL,Midwest,AVG_2023,0.19353088531818183
IL,Midwest,AVG_2024,0.2044481258712121
IN,Midwest,AVG_2015,0.19381457715656564
IN,Midwest,AVG_2016,0.19199953981944445
IN,Midwest,AVG_2017,0.18192916704910714
IN,Midwest,AVG_2018,0.18357172808796296
IN,Midwest,AVG_2019,0.18441690322222223
IN,Midwest,AVG_2020,0.1860606068425926
IN,Midwest,AVG_2021,0.19094366667424242
IN,Midwest,AVG_2022,0.20047764071527777
IN,Midwest,AVG_2023,0.20626685349810606
IN,Midwest,AVG_2024,0.21358507359722223
KS,Midwest,AVG_2015,0.18749077316666665
KS,Midwest,AVG_2016,0.19564058297916667
KS,Midwest,AVG_2017,0.19457627852083334
KS,Midwest,AVG_2018,0.19627951227083335
KS,Midwest,AVG_2019,0.19314183527083334
KS,Midwest,AVG_2020,0.19348741035416667
KS,Midwest,AVG_2021,0.20136983945833334
KS,Midwest,AVG_2022,0.207482119375
KS,Midwest,AVG_2023,0.21143106185416666
KS,Midwest,AVG_2024,0.21835286983333332
KY,Southeast,AVG_2015,0.19280346083333333
KY,Southeast,AVG_2016,0.1918193715
KY,Southeast,AVG_2017,0.20634911288888888
KY,Southeast,AVG_2018,0.2039571243611111
KY,Southeast,AVG_2019,0.2023888828888889
KY,Southeast,AVG_2020,0.2021370415
KY,Southeast,AVG_2021,0.21062672944444444
KY,Southeast,AVG_2022,0.22444074814583334
KY,Southeast,AVG_2023,0.23419783879166667
KY,Southeast,AVG_2024,0.22762948895666668
LA,South,AVG_2015,0.2620658072222222
LA,South,AVG_2016,0.25031474006666665
LA,South,AVG_2017,0.2531516756
LA,South,AVG_2018,0.2454805387
LA,South,AVG_2019,0.23819700426666668
LA,South,AVG_2020,0.23746288925
LA,South,AVG_2021,0.2511520826111111
