StateName,RegionName,Year,Value
AK,Pacific,AVG_2015,0.226005504125
AK,Pacific,AVG_2016,0.227918972625
AK,Pacific,AVG_2017,0.23418227508333334
AK,Pacific,AVG_2018,0.2523606164166667
AK,Pacific,AVG_2019,0.25312037791666664
AK,Pacific,AVG_2020,0.23374948758333336
AK,Pacific,AVG_2021,0.22519393175000002
AK,Pacific,AVG_2022,0.2872558685833333
AK,Pacific,AVG_2023,0.31160616933333335
AK,Pacific,AVG_2024,0.33748177316666667
AL,South,AVG_2015,0.18478868240277777
AL,South,AVG_2016,0.18025658748611112
AL,South,AVG_2017,0.18521414716666668
AL,South,AVG_2018,0.19731496420833333
AL,South,AVG_2019,0.18596276602777778
AL,South,AVG_2020,0.1788740011597222
AL,South,AVG_2021,0.18731603368055555
AL,South,AVG_2022,0.24421397790277777
AL,South,AVG_2023,0.27279713425694446
AL,South,AVG_2024,0.28616700855
AR,South,AVG_2015,0.1852948678611111
AR,South,AVG_2016,0.18260196252777777
AR,South,AVG_2017,0.18729568381944445
AR,South,AVG_2018,0.19576854440277777
AR,South,AVG_2019,0.18755248995833335
AR,South,AVG_2020,0.17756842041666668
AR,South,AVG_2021,0.1870046508888889
AR,South,AVG_2022,0.24463347359722223
AR,South,AVG_2023,0.2558883447
AR,South,AVG_2024,0.26918412641666667
AZ,West,AVG_2015,0.24171958793055554
AZ,West,AVG_2016,0.2407042225277778
AZ,West,AVG_2017,0.2518459645138889
AZ,West,AVG_2018,0.2695829588888889
AZ,West,AVG_2019,0.2635189718888889
AZ,West,AVG_2020,0.2475128049
AZ,West,AVG_2021,0.28282429780555557
AZ,West,AVG_2022,0.39012845429166665
AZ,West,AVG_2023,0.4157152078888889
AZ,West,AVG_2024,0.4146572788472222
CA,West,AVG_2015,0.35208170666346156
CA,West,AVG_2016,0.35453349348397434
CA,West,AVG_2017,0.37098281789423077
CA,West,AVG_2018,0.3987990139647436
CA,West,AVG_2019,0.37473798010897436
CA,West,AVG_2020,0.3511419057596154
CA,West,AVG_2021,0.37698312452666666
CA,West,AVG_2022,0.5006868430666667
CA,West,AVG_2023,0.5355236867275641
CA,West,AVG_2024,0.5401756604166666
CO,West,AVG_2015,0.2514454501547619
CO,West,AVG_2016,0.2622236835357143
CO,West,AVG_2017,0.28314003602380955
CO,West,AVG_2018,0.30255819672619044
CO,West,AVG_2019,0.2976236182638889
CO,West,AVG_2020,0.27469480757142856
CO,West,AVG_2021,0.2915257184880952
CO,West,AVG_2022,0.3994262856309524
CO,West,AVG_2023,0.43305436369047623
CO,West,AVG_2024,0.43730325280555554
CT,Northeast,AVG_2015,0.2649467271666667
CT,Northeast,AVG_2016,0.25823627775
CT,Northeast,AVG_2017,0.26464054108333335
CT,Northeast,AVG_2018,0.27575786652083334
CT,Northeast,AVG_2019,0.26081616614583336
CT,Northeast,AVG_2020,0.24455401352083334
CT,Northeast,AVG_2021,0.25617795577083335
CT,Northeast,AVG_2022,0.31729361345833335
CT,Northeast,AVG_2023,0.35897334000000003
CT,Northeast,AVG_2024,0.37555952931250003
DE,Northeast,AVG_2015,0.23270859329166665
DE,Northeast,AVG_2016,0.23002743158333333
DE,Northeast,AVG_2017,0.242624031
DE,Northeast,AVG_2018,0.2550329949166667
